CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,InternetService,Contract,MonthlyCharges,TotalCharges,Churn
CUST00040,Male,0,Yes,Yes,68,Yes,Fiber optic,One year,51.31,3489.08,No
CUST00041,Female,0,Yes,No,57,Yes,Fiber optic,Month-to-month,79.4,4525.8,Yes
CUST00042,Male,0,Yes,Yes,39,Yes,No,Month-to-month,27.54,1074.06,No
CUST00043,Female,0,No,No,24,Yes,No,Month-to-month,91.79,2202.96,No
CUST00044,Female,0,Yes,No,41,Yes,No,Month-to-month,66.07,2708.87,No
CUST00045,Female,1,No,No,43,No,Fiber optic,Month-to-month,62.33,2680.19,Yes
CUST00046,Male,0,Yes,Yes,4,No,DSL,Two year,113.48,453.92,Yes
CUST00047,Female,0,No,No,27,Yes,Fiber optic,Month-to-month,69.15,1867.05,No
CUST00048,Male,0,Yes,No,59,Yes,Fiber optic,One year,21.68,1279.12,No
CUST00049,Female,0,No,No,20,Yes,No,Month-to-month,115.98,2319.6,No
CUST00050,Female,0,Yes,Yes,48,Yes,No,Month-to-month,21.22,1018.56,No
CUST00051,Male,0,No,No,55,No,Fiber optic,Month-to-month,73.59,4047.45,No
CUST00052,Female,0,No,Yes,56,Yes,DSL,Month-to-month,83.36,4668.16,No
CUST00053,Female,0,No,No,60,No,DSL,Two year,109.45,6567.0,Yes
CUST00054,Male,1,Yes,No,37,Yes,Fiber optic,Month-to-month,87.92,3253.04,Yes
CUST00055,Female,0,Yes,Yes,1,Yes,DSL,Month-to-month,101.11,101.11,No
CUST00056,Female,0,No,Yes,2,Yes,No,Two year,96.99,193.98,No
CUST00057,Female,0,No,No,42,Yes,Fiber optic,One year,41.35,1736.7,Yes
CUST00058,Female,1,Yes,Yes,34,Yes,No,Two year,90.05,3061.7,No
CUST00059,Male,0,Yes,No,39,Yes,DSL,Month-to-month,83.76,3266.64,No
CUST00060,Female,0,Yes,No,57,Yes,DSL,Two year,44.4,2530.8,No
CUST00061,Female,1,Yes,No,33,Yes,Fiber optic,One year,32.83,1083.39,No
CUST00062,Female,0,Yes,Yes,24,No,No,Month-to-month,95.16,2283.84,No
CUST00063,Female,0,No,Yes,55,Yes,DSL,Month-to-month,117.11,6441.05,No
CUST00064,Female,0,No,No,31,Yes,No,One year,93.84,2909.04,Yes
CUST00065,Female,0,No,No,21,Yes,Fiber optic,Month-to-month,94.94,1993.74,Yes
CUST00066,Female,1,No,No,64,No,No,One year,36.67,2346.88,No
CUST00067,Female,0,Yes,No,20,No,DSL,Month-to-month,44.71,894.2,No
CUST00068,Male,0,Yes,No,20,Yes,Fiber optic,Two year,78.58,1571.6,No
CUST00069,Male,1,No,Yes,27,Yes,DSL,Month-to-month,23.14,624.78,No
CUST00070,Male,0,Yes,No,18,Yes,DSL,Month-to-month,86.79,1562.22,No
CUST00071,Male,0,Yes,Yes,13,Yes,Fiber optic,Month-to-month,34.48,448.24,No
CUST00072,Female,0,No,Yes,23,No,DSL,Two year,61.34,1410.82,No
CUST00073,Female,0,No,No,19,Yes,Fiber optic,Month-to-month,52.02,988.38,No
CUST00074,Male,0,Yes,No,31,No,Fiber optic,Month-to-month,30.65,950.15,Yes
CUST00075,Male,1,No,No,51,Yes,DSL,Month-to-month,77.88,3971.88,No
CUST00076,Male,0,Yes,No,64,Yes,No,Month-to-month,56.12,3591.68,Yes
CUST00077,Female,0,No,No,51,Yes,No,Month-to-month,24.4,1244.4,No
CUST00078,Female,0,Yes,No,57,Yes,No,One year,64.44,3673.08,No
CUST00079,Male,0,No,Yes,9,No,Fiber optic,Month-to-month,79.03,711.27,Yes
CUST00080,Male,0,Yes,Yes,69,Yes,Fiber optic,Month-to-month,33.04,2279.76,No
CUST00081,Male,0,Yes,No,14,Yes,DSL,One year,78.5,1099.0,Yes
CUST00082,Male,1,Yes,No,46,Yes,DSL,Two year,50.2,2309.2,No
CUST00083,Male,0,No,No,9,Yes,Fiber optic,Two year,45.96,413.64,No
CUST00084,Female,0,Yes,No,20,Yes,Fiber optic,Month-to-month,99.55,1991.0,No
CUST00085,Male,0,Yes,No,18,Yes,Fiber optic,Month-to-month,66.77,1201.86,No
CUST00086,Female,0,No,No,67,Yes,Fiber optic,Two year,57.79,3871.93,No
CUST00087,Male,0,No,No,21,Yes,DSL,One year,101.3,2127.3,No
CUST00088,Male,0,Yes,No,62,Yes,Fiber optic,Month-to-month,111.03,6883.86,No
CUST00089,Female,0,Yes,No,37,Yes,DSL,Two year,51.51,1905.87,Yes
CUST00090,Male,1,No,Yes,14,Yes,Fiber optic,One year,25.04,350.56,Yes
CUST00091,Female,0,No,No,69,Yes,DSL,Two year,74.07,5110.83,Yes
CUST00092,Female,0,Yes,No,43,Yes,DSL,Two year,91.52,3935.36,No
CUST00093,Male,0,Yes,Yes,29,Yes,No,Month-to-month,78.78,2284.62,Yes
CUST00094,Male,0,No,No,23,Yes,DSL,Two year,88.81,2042.63,No
CUST00095,Female,0,Yes,Yes,45,No,Fiber optic,Month-to-month,84.67,3810.15,No
CUST00096,Female,0,Yes,Yes,3,Yes,No,One year,115.6,346.8,Yes
CUST00097,Male,0,Yes,No,5,No,DSL,Month-to-month,106.59,532.95,No
CUST00098,Female,0,No,Yes,37,Yes,Fiber optic,Two year,33.18,1227.66,No
CUST00099,Male,0,No,No,25,Yes,DSL,Month-to-month,65.26,1631.5,No
CUST00100,Female,0,Yes,No,18,Yes,DSL,Two year,65.48,1178.64,Yes
CUST00101,Male,0,Yes,No,1,Yes,Fiber optic,Month-to-month,65.63,65.63,No
CUST00102,Female,0,Yes,Yes,67,Yes,Fiber optic,One year,113.07,7575.69,No
CUST00103,Female,0,No,No,68,Yes,DSL,Month-to-month,52.72,3584.96,No
CUST00104,Male,0,Yes,No,46,Yes,Fiber optic,One year,81.43,3745.78,No
CUST00105,Female,0,No,No,28,Yes,DSL,Month-to-month,109.63,3069.64,No
CUST00106,Female,0,Yes,No,63,Yes,No,Two year,25.05,1578.15,No
CUST00107,Female,0,No,No,11,Yes,Fiber optic,One year,107.86,1186.46,Yes
CUST00108,Female,0,Yes,Yes,10,Yes,DSL,One year,96.5,965.0,No
CUST00109,Female,0,No,No,7,Yes,No,Month-to-month,40.79,285.53,Yes
CUST00110,Female,0,No,Yes,59,Yes,DSL,Month-to-month,52.55,3100.45,No
CUST00111,Female,0,Yes,No,25,Yes,DSL,Two year,51.06,1276.5,No
CUST00112,Male,0,No,No,31,Yes,DSL,Month-to-month,42.13,1306.03,No
CUST00113,Female,0,Yes,No,38,Yes,Fiber optic,Two year,83.85,3186.3,Yes
CUST00114,Female,0,No,No,3,Yes,DSL,Month-to-month,118.28,354.84,No
CUST00115,Male,0,Yes,Yes,43,Yes,DSL,Month-to-month,36.66,1576.38,No
CUST00116,Female,0,No,No,34,Yes,Fiber optic,Two year,43.22,1469.48,No
CUST00117,Female,0,No,No,50,No,No,Two year,49.04,2452.0,No
CUST00118,Male,0,Yes,No,50,Yes,Fiber optic,Month-to-month,113.76,5688.0,Yes
CUST00119,Female,1,No,Yes,28,No,Fiber optic,Month-to-month,82.58,2312.24,No
CUST00120,Female,0,Yes,No,35,Yes,No,Two year,41.27,1444.45,No
CUST00121,Male,0,Yes,No,59,Yes,DSL,Month-to-month,100.4,5923.6,No
CUST00122,Male,0,Yes,Yes,14,Yes,DSL,Month-to-month,112.29,1572.06,No
CUST00123,Female,0,No,No,50,Yes,No,One year,60.34,3017.0,No
CUST00124,Female,0,No,Yes,49,Yes,Fiber optic,Month-to-month,37.28,1826.72,No
CUST00125,Male,0,No,No,54,Yes,DSL,Month-to-month,50.99,2753.46,No
CUST00126,Female,1,Yes,No,11,Yes,Fiber optic,Month-to-month,41.71,458.81,No
CUST00127,Male,0,Yes,Yes,49,Yes,No,Two year,40.14,1966.86,No
CUST00128,Male,0,No,No,61,Yes,DSL,Two year,37.08,2261.88,Yes
CUST00129,Male,1,Yes,No,4,No,DSL,Month-to-month,107.6,430.4,No
CUST00130,Female,1,No,No,26,Yes,DSL,Month-to-month,28.59,743.34,No
CUST00131,Male,0,No,No,8,Yes,Fiber optic,One year,61.33,490.64,No
CUST00132,Male,0,Yes,No,34,Yes,Fiber optic,Month-to-month,21.47,729.98,No
CUST00133,Male,0,Yes,No,12,Yes,DSL,Two year,49.34,592.08,Yes
CUST00134,Female,0,Yes,No,43,Yes,Fiber optic,Month-to-month,90.69,3899.67,No
CUST00135,Female,0,Yes,No,45,Yes,Fiber optic,Month-to-month,40.28,1812.6,No
CUST00136,Female,0,No,Yes,67,Yes,DSL,One year,119.87,8031.29,No
CUST00137,Male,1,Yes,Yes,52,Yes,Fiber optic,Month-to-month,24.83,1291.16,No
CUST00138,Female,0,Yes,No,0,Yes,Fiber optic,Month-to-month,33.65,0.0,No
CUST00139,Female,0,Yes,No,10,Yes,Fiber optic,Month-to-month,98.69,986.9,No
CUST00140,Male,0,No,Yes,49,Yes,No,Month-to-month,117.6,5762.4,No
CUST00141,Male,0,Yes,No,8,Yes,DSL,Two year,115.4,923.2,Yes
CUST00142,Female,0,Yes,No,37,Yes,DSL,One year,99.82,3693.34,No
CUST00143,Female,0,No,Yes,12,Yes,Fiber optic,Month-to-month,117.3,1407.6,Yes
CUST00144,Male,0,No,No,4,Yes,Fiber optic,Month-to-month,104.08,416.32,No
CUST00145,Female,0,No,No,24,Yes,No,Month-to-month,25.8,619.2,No
CUST00146,Male,0,Yes,No,9,Yes,DSL,One year,104.56,941.04,No
CUST00147,Male,0,No,No,4,Yes,DSL,One year,68.38,273.52,Yes
CUST00148,Female,0,No,No,21,Yes,Fiber optic,Two year,65.68,1379.28,No
CUST00149,Female,0,Yes,No,41,No,No,Month-to-month,20.25,830.25,No
CUST00150,Female,0,Yes,No,19,Yes,Fiber optic,One year,82.03,1558.57,Yes
CUST00151,Female,0,No,No,27,Yes,Fiber optic,One year,87.16,2353.32,No
CUST00152,Male,0,Yes,No,20,Yes,DSL,Two year,99.07,1981.4,Yes
CUST00153,Female,0,Yes,No,10,Yes,Fiber optic,Month-to-month,52.6,526.0,No
CUST00154,Female,0,No,No,68,Yes,DSL,Month-to-month,32.81,2231.08,No
CUST00155,Female,0,Yes,No,36,Yes,No,Month-to-month,63.99,2303.64,No
CUST00156,Male,1,Yes,No,48,Yes,DSL,Month-to-month,56.23,2699.04,No
CUST00157,Female,0,No,No,68,Yes,Fiber optic,Month-to-month,95.31,6481.08,No
CUST00158,Female,0,No,No,32,Yes,DSL,Two year,42.94,1374.08,No
CUST00159,Male,0,Yes,No,44,Yes,No,Two year,33.82,1488.08,No
CUST00160,Male,0,No,No,7,Yes,Fiber optic,Month-to-month,64.02,448.14,Yes
CUST00161,Male,0,No,Yes,5,Yes,No,One year,82.8,414.0,No
CUST00162,Male,0,Yes,No,14,Yes,DSL,Month-to-month,48.1,673.4,No
CUST00163,Male,0,Yes,No,14,Yes,DSL,Two year,31.44,440.16,No
CUST00164,Female,0,Yes,Yes,8,Yes,DSL,Month-to-month,63.91,511.28,No
CUST00165,Male,1,No,No,60,Yes,Fiber optic,Two year,116.19,6971.4,Yes
CUST00166,Male,0,No,Yes,55,Yes,DSL,Month-to-month,116.73,6420.15,Yes
CUST00167,Male,0,Yes,No,4,Yes,Fiber optic,Month-to-month,90.87,363.48,Yes
CUST00168,Male,0,Yes,No,25,Yes,DSL,Month-to-month,97.72,2443.0,No
CUST00169,Male,0,Yes,Yes,56,Yes,Fiber optic,Month-to-month,40.35,2259.6,No
CUST00170,Male,0,Yes,Yes,34,Yes,DSL,Month-to-month,57.47,1953.98,No
CUST00171,Male,0,No,No,9,Yes,Fiber optic,One year,80.48,724.32,Yes
CUST00172,Male,0,No,No,20,Yes,Fiber optic,One year,95.04,1900.8,No
CUST00173,Female,0,No,No,11,Yes,DSL,Two year,36.66,403.26,No
CUST00174,Female,0,No,Yes,8,Yes,No,Month-to-month,65.76,526.08,No
CUST00175,Female,0,No,Yes,15,Yes,Fiber optic,One year,36.28,544.2,Yes
CUST00176,Male,0,No,Yes,53,Yes,Fiber optic,Two year,83.34,4417.02,No
CUST00177,Male,0,Yes,Yes,22,Yes,Fiber optic,Two year,97.22,2138.84,Yes
CUST00178,Male,0,No,No,38,Yes,DSL,Month-to-month,103.33,3926.54,No
CUST00179,Female,0,No,No,21,Yes,Fiber optic,Month-to-month,93.24,1958.04,Yes
CUST00180,Male,0,No,No,54,Yes,Fiber optic,Month-to-month,35.91,1939.14,Yes
CUST00181,Male,1,No,No,30,No,DSL,Month-to-month,102.84,3085.2,No
CUST00182,Male,0,Yes,No,46,Yes,No,Two year,53.44,2458.24,Yes
CUST00183,Female,0,Yes,No,26,No,DSL,Two year,103.58,2693.08,Yes
CUST00184,Female,1,No,Yes,47,No,DSL,Two year,45.09,2119.23,Yes
CUST00185,Male,0,Yes,No,38,Yes,Fiber optic,Month-to-month,67.57,2567.66,No
CUST00186,Female,0,Yes,No,20,Yes,Fiber optic,Month-to-month,77.66,1553.2,No
CUST00187,Male,0,Yes,No,14,Yes,DSL,Month-to-month,23.47,328.58,No
CUST00188,Male,0,Yes,No,44,Yes,Fiber optic,One year,110.37,4856.28,No
CUST00189,Female,0,No,No,18,Yes,DSL,Month-to-month,71.15,1280.7,Yes
CUST00190,Female,0,No,Yes,52,Yes,Fiber optic,Month-to-month,39.2,2038.4,Yes
CUST00191,Female,1,No,No,54,Yes,Fiber optic,Month-to-month,36.08,1948.32,No
CUST00192,Female,0,No,No,48,Yes,No,Month-to-month,88.65,4255.2,No
CUST00193,Male,0,No,No,60,Yes,DSL,Month-to-month,28.17,1690.2,No
CUST00194,Male,0,Yes,No,59,Yes,No,Two year,63.98,3774.82,No
CUST00195,Female,0,No,No,23,Yes,Fiber optic,Month-to-month,74.03,1702.69,No
CUST00196,Female,0,No,No,38,Yes,No,Two year,43.31,1645.78,No
CUST00197,Male,0,Yes,No,60,Yes,No,Two year,32.92,1975.2,No
CUST00198,Male,0,Yes,No,22,Yes,Fiber optic,Month-to-month,69.07,1519.54,Yes
CUST00199,Male,0,No,No,71,Yes,DSL,Two year,54.03,3836.13,No
CUST00200,Male,0,Yes,No,38,Yes,Fiber optic,Month-to-month,34.02,1292.76,No
CUST00201,Female,0,No,Yes,71,Yes,DSL,Two year,41.04,2913.84,No
CUST00202,Female,1,Yes,Yes,10,Yes,DSL,Two year,67.09,670.9,No
CUST00203,Female,0,No,Yes,41,Yes,No,Two year,33.31,1365.71,No
CUST00204,Male,0,No,Yes,24,Yes,DSL,Month-to-month,113.61,2726.64,No
CUST00205,Male,0,No,No,33,Yes,DSL,Two year,97.55,3219.15,No
CUST00206,Female,0,No,No,21,No,Fiber optic,Two year,52.56,1103.76,Yes
CUST00207,Female,0,Yes,No,1,Yes,No,Two year,45.84,45.84,No
CUST00208,Female,0,No,No,50,Yes,No,Month-to-month,107.43,5371.5,No
CUST00209,Male,0,No,No,15,No,Fiber optic,Month-to-month,62.69,940.35,Yes
CUST00210,Female,0,No,Yes,10,No,DSL,Month-to-month,106.27,1062.7,No
CUST00211,Male,0,No,No,68,Yes,Fiber optic,One year,94.25,6409.0,No
CUST00212,Female,0,Yes,No,61,Yes,Fiber optic,Month-to-month,29.21,1781.81,No
CUST00213,Female,0,Yes,No,18,Yes,DSL,Two year,101.36,1824.48,No
CUST00214,Female,0,No,No,28,Yes,No,Month-to-month,73.99,2071.72,No
CUST00215,Male,0,No,Yes,41,Yes,DSL,Month-to-month,87.76,3598.16,No
CUST00216,Male,0,Yes,No,22,Yes,DSL,Month-to-month,41.9,921.8,Yes
CUST00217,Male,1,No,No,59,Yes,DSL,One year,20.03,1181.77,No
CUST00218,Male,0,No,Yes,17,Yes,No,Month-to-month,53.37,907.29,No
CUST00219,Male,0,Yes,No,54,Yes,DSL,Month-to-month,39.06,2109.24,No
CUST00220,Male,0,Yes,No,17,Yes,Fiber optic,Month-to-month,63.52,1079.84,No
CUST00221,Female,0,Yes,No,26,Yes,No,One year,29.09,756.34,No
CUST00222,Male,0,No,No,0,Yes,DSL,One year,109.5,0.0,No
CUST00223,Female,0,No,No,13,Yes,DSL,Month-to-month,31.87,414.31,No
CUST00224,Male,0,No,No,58,Yes,DSL,Month-to-month,96.42,5592.36,No
CUST00225,Female,0,No,No,32,Yes,Fiber optic,Month-to-month,113.93,3645.76,Yes
CUST00226,Female,0,Yes,No,35,Yes,Fiber optic,Month-to-month,34.82,1218.7,No
CUST00227,Male,0,Yes,Yes,38,Yes,Fiber optic,One year,54.65,2076.7,No
CUST00228,Female,0,Yes,No,44,Yes,DSL,One year,93.11,4096.84,No
CUST00229,Male,0,Yes,Yes,24,Yes,Fiber optic,Month-to-month,91.45,2194.8,No
CUST00230,Male,0,No,No,14,Yes,No,Month-to-month,23.74,332.36,No
CUST00231,Male,0,No,Yes,19,Yes,No,Month-to-month,27.07,514.33,No
CUST00232,Male,0,Yes,No,33,Yes,Fiber optic,One year,32.01,1056.33,Yes
CUST00233,Female,1,No,No,57,Yes,No,Month-to-month,76.8,4377.6,No
CUST00234,Male,0,Yes,No,59,Yes,No,Month-to-month,25.5,1504.5,No
CUST00235,Female,0,Yes,No,29,Yes,Fiber optic,Month-to-month,78.84,2286.36,Yes
CUST00236,Female,0,No,No,12,Yes,DSL,Month-to-month,54.25,651.0,No
CUST00237,Female,0,No,No,66,Yes,No,Two year,86.94,5738.04,No
CUST00238,Male,0,No,No,44,Yes,No,Month-to-month,98.2,4320.8,No
CUST00239,Female,0,No,No,39,Yes,DSL,One year,99.14,3866.46,No
CUST00240,Male,0,No,No,37,No,No,Two year,23.76,879.12,No
CUST00241,Female,0,No,No,46,Yes,DSL,Month-to-month,114.72,5277.12,No
CUST00242,Male,0,No,No,28,Yes,DSL,Month-to-month,78.66,2202.48,No
CUST00243,Male,0,No,Yes,33,No,DSL,Month-to-month,109.57,3615.81,No
CUST00244,Male,1,Yes,No,10,Yes,DSL,Two year,81.51,815.1,No
CUST00245,Male,0,Yes,Yes,19,Yes,Fiber optic,Two year,68.41,1299.79,Yes
CUST00246,Female,0,No,No,19,Yes,Fiber optic,One year,92.97,1766.43,Yes
CUST00247,Female,0,No,No,55,Yes,Fiber optic,One year,41.94,2306.7,No
CUST00248,Male,0,Yes,No,22,Yes,Fiber optic,Two year,30.32,667.04,No
CUST00249,Female,0,Yes,Yes,24,Yes,Fiber optic,Two year,29.05,697.2,No
CUST00250,Male,0,Yes,Yes,32,Yes,DSL,Two year,104.91,3357.12,Yes
CUST00251,Male,0,Yes,No,30,Yes,No,Month-to-month,111.24,3337.2,No
CUST00252,Female,0,No,No,0,Yes,Fiber optic,Month-to-month,101.44,0.0,No
CUST00253,Male,0,Yes,Yes,53,No,Fiber optic,One year,110.44,5853.32,Yes
CUST00254,Male,0,Yes,No,15,Yes,Fiber optic,Month-to-month,118.48,1777.2,No
CUST00255,Male,0,Yes,No,58,Yes,No,One year,72.61,4211.38,No
CUST00256,Male,0,Yes,Yes,65,Yes,DSL,Month-to-month,35.39,2300.35,No
CUST00257,Male,0,No,No,2,Yes,DSL,Month-to-month,80.79,161.58,No
CUST00258,Female,0,Yes,No,14,Yes,No,Two year,55.39,775.46,Yes
CUST00259,Female,1,No,No,31,Yes,Fiber optic,Month-to-month,54.64,1693.84,No
CUST00260,Female,0,No,No,49,No,DSL,One year,92.78,4546.22,No
CUST00261,Male,0,No,No,59,Yes,Fiber optic,Month-to-month,29.07,1715.13,Yes
CUST00262,Male,0,No,No,7,Yes,Fiber optic,One year,23.75,166.25,No
CUST00263,Male,0,No,Yes,6,Yes,Fiber optic,Month-to-month,89.53,537.18,No
CUST00264,Male,0,Yes,No,3,Yes,Fiber optic,Month-to-month,46.07,138.21,No
CUST00265,Male,0,No,No,9,No,No,Two year,58.55,526.95,No
CUST00266,Male,0,Yes,No,59,No,No,Month-to-month,50.76,2994.84,No
CUST00267,Female,1,Yes,No,24,Yes,No,Month-to-month,81.48,1955.52,No
CUST00268,Male,0,No,Yes,41,Yes,Fiber optic,Month-to-month,35.45,1453.45,No
CUST00269,Female,1,No,No,46,Yes,DSL,Month-to-month,92.06,4234.76,No
CUST00270,Male,0,Yes,No,31,Yes,Fiber optic,Two year,112.49,3487.19,No
CUST00271,Female,0,No,No,24,No,Fiber optic,Month-to-month,103.61,2486.64,No
CUST00272,Male,0,No,Yes,15,Yes,DSL,Month-to-month,110.7,1660.5,No
CUST00273,Female,0,No,No,48,Yes,Fiber optic,Two year,113.71,5458.08,No
CUST00274,Female,0,Yes,No,15,Yes,Fiber optic,Month-to-month,57.23,858.45,Yes
CUST00275,Male,0,Yes,No,37,Yes,No,Month-to-month,99.57,3684.09,Yes
CUST00276,Male,0,No,No,4,Yes,DSL,Month-to-month,69.48,277.92,No
CUST00277,Female,0,No,Yes,6,Yes,Fiber optic,Month-to-month,46.98,281.88,Yes
CUST00278,Male,0,No,No,7,Yes,Fiber optic,One year,94.69,662.83,Yes
CUST00279,Male,0,Yes,No,32,Yes,DSL,Two year,44.41,1421.12,No
CUST00280,Male,0,No,Yes,61,Yes,DSL,One year,30.96,1888.56,No
CUST00281,Female,0,No,Yes,31,Yes,DSL,Two year,90.46,2804.26,Yes
CUST00282,Male,0,No,No,0,Yes,DSL,One year,48.76,0.0,No
CUST00283,Female,1,No,No,19,Yes,DSL,Two year,50.59,961.21,No
CUST00284,Female,0,Yes,No,54,Yes,No,Two year,108.11,5837.94,No
CUST00285,Male,1,No,No,62,Yes,DSL,Month-to-month,33.55,2080.1,Yes
CUST00286,Female,0,No,No,5,Yes,No,Month-to-month,96.48,482.4,No
CUST00287,Male,0,Yes,No,51,Yes,No,Month-to-month,58.62,2989.62,No
CUST00288,Male,0,No,No,1,Yes,Fiber optic,Month-to-month,109.3,109.3,No
CUST00289,Female,0,No,Yes,38,Yes,DSL,Month-to-month,64.03,2433.14,Yes
CUST00290,Female,0,Yes,No,31,Yes,Fiber optic,One year,60.9,1887.9,Yes
CUST00291,Female,1,No,No,50,Yes,DSL,Month-to-month,62.99,3149.5,No
CUST00292,Female,0,Yes,No,68,Yes,DSL,Month-to-month,103.77,7056.36,Yes
CUST00293,Female,1,No,No,31,Yes,Fiber optic,Month-to-month,21.05,652.55,Yes
CUST00294,Male,0,No,Yes,2,Yes,DSL,Month-to-month,90.49,180.98,No
CUST00295,Female,0,No,Yes,61,Yes,Fiber optic,Month-to-month,40.52,2471.72,Yes
CUST00296,Male,0,Yes,Yes,12,Yes,Fiber optic,Month-to-month,108.21,1298.52,Yes
CUST00297,Male,0,No,No,69,Yes,No,Month-to-month,57.59,3973.71,Yes
CUST00298,Female,0,Yes,Yes,20,No,DSL,Month-to-month,53.9,1078.0,No
CUST00299,Female,1,Yes,No,60,Yes,DSL,Two year,91.26,5475.6,Yes
CUST00300,Female,0,Yes,No,13,Yes,Fiber optic,One year,92.24,1199.12,No
CUST00301,Female,1,Yes,Yes,70,Yes,No,Month-to-month,83.37,5835.9,No
CUST00302,Female,0,Yes,No,21,Yes,No,One year,52.98,1112.58,No
CUST00303,Male,0,Yes,Yes,31,Yes,Fiber optic,Two year,81.04,2512.24,No
CUST00304,Male,0,No,No,40,No,Fiber optic,Month-to-month,25.43,1017.2,Yes
CUST00305,Male,0,No,Yes,31,Yes,Fiber optic,Month-to-month,115.52,3581.12,Yes
CUST00306,Female,0,No,No,41,Yes,DSL,Two year,65.27,2676.07,No
CUST00307,Female,1,No,No,51,Yes,Fiber optic,Month-to-month,50.45,2572.95,Yes
CUST00308,Male,1,Yes,No,53,Yes,Fiber optic,Month-to-month,106.08,5622.24,No
CUST00309,Female,0,No,No,61,Yes,DSL,Month-to-month,52.42,3197.62,No
CUST00310,Female,0,No,No,42,Yes,No,Month-to-month,119.72,5028.24,No
CUST00311,Female,0,Yes,Yes,2,Yes,No,Month-to-month,89.06,178.12,No
CUST00312,Male,0,No,No,37,Yes,DSL,Month-to-month,84.96,3143.52,No
CUST00313,Female,0,Yes,Yes,38,Yes,No,Month-to-month,35.19,1337.22,No
CUST00314,Male,0,No,No,69,Yes,DSL,Two year,80.99,5588.31,Yes
CUST00315,Female,0,No,Yes,44,Yes,DSL,One year,35.51,1562.44,No
